"BC7" "Father" "Balancer" "Effect" "QTL" "UAS_Chromosome" "Setup_Date" "Treatment" "Embryo" "Males" "Females" "Formatted_Date" "Toss_Date" "Day30" "Rep"
"48" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 5 "2022-06-08" "2022-06-19" "2022-06-25" "R1"
"49" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 4 0 "2022-06-09" "2022-06-19" "2022-06-25" "R1"
"50" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 1 "2022-06-10" "2022-06-19" "2022-06-25" "R1"
"51" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 1 "2022-06-11" "2022-06-19" "2022-06-25" "R1"
"52" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-19" "2022-06-25" "R1"
"53" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 0 "2022-06-13" "2022-06-19" "2022-06-25" "R1"
"54" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 0 "2022-06-14" "2022-06-19" "2022-06-25" "R1"
"55" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-15" "2022-06-19" "2022-06-25" "R1"
"56" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-16" "2022-06-19" "2022-06-25" "R1"
"57" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-17" "2022-06-19" "2022-06-25" "R1"
"58" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-18" "2022-06-19" "2022-06-25" "R1"
"59" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-04" "2022-06-15" "2022-06-25" "R1"
"60" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-05" "2022-06-15" "2022-06-25" "R1"
"61" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 1 3 "2022-06-06" "2022-06-15" "2022-06-25" "R1"
"62" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 3 7 "2022-06-07" "2022-06-15" "2022-06-25" "R1"
"63" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 9 0 "2022-06-08" "2022-06-15" "2022-06-25" "R1"
"64" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 1 "2022-06-09" "2022-06-15" "2022-06-25" "R1"
"65" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-10" "2022-06-15" "2022-06-25" "R1"
"66" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-11" "2022-06-15" "2022-06-25" "R1"
"67" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-12" "2022-06-15" "2022-06-25" "R1"
"68" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-13" "2022-06-15" "2022-06-25" "R1"
"69" 102 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-14" "2022-06-15" "2022-06-25" "R1"
"70" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-17" "2022-06-25" "R1"
"71" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-17" "2022-06-25" "R1"
"72" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-06" "2022-06-17" "2022-06-25" "R1"
"73" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 1 "2022-06-07" "2022-06-17" "2022-06-25" "R1"
"74" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 2 8 "2022-06-08" "2022-06-17" "2022-06-25" "R1"
"75" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-09" "2022-06-17" "2022-06-25" "R1"
"76" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-10" "2022-06-17" "2022-06-25" "R1"
"77" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-11" "2022-06-17" "2022-06-25" "R1"
"78" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-17" "2022-06-25" "R1"
"79" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 1 "2022-06-13" "2022-06-17" "2022-06-25" "R1"
"80" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-14" "2022-06-17" "2022-06-25" "R1"
"81" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-15" "2022-06-17" "2022-06-25" "R1"
"82" 103 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-16" "2022-06-17" "2022-06-25" "R1"
"83" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-17" "2022-06-25" "R1"
"84" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-17" "2022-06-25" "R1"
"85" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 2 "2022-06-06" "2022-06-17" "2022-06-25" "R1"
"86" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 5 "2022-06-07" "2022-06-17" "2022-06-25" "R1"
"87" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 2 2 "2022-06-08" "2022-06-17" "2022-06-25" "R1"
"88" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 0 "2022-06-09" "2022-06-17" "2022-06-25" "R1"
"89" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 1 "2022-06-10" "2022-06-17" "2022-06-25" "R1"
"90" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 1 0 "2022-06-11" "2022-06-17" "2022-06-25" "R1"
"91" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-17" "2022-06-25" "R1"
"92" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-13" "2022-06-17" "2022-06-25" "R1"
"93" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-14" "2022-06-17" "2022-06-25" "R1"
"94" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-15" "2022-06-17" "2022-06-25" "R1"
"95" 104 "51792" "No" "CG11318_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-16" "2022-06-17" "2022-06-25" "R1"
"96" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-17" "2022-06-25" "R1"
"97" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-17" "2022-06-25" "R1"
"98" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 6 "2022-06-06" "2022-06-17" "2022-06-25" "R1"
"99" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 3 1 "2022-06-07" "2022-06-17" "2022-06-25" "R1"
"100" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 1 "2022-06-08" "2022-06-17" "2022-06-25" "R1"
"101" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-09" "2022-06-17" "2022-06-25" "R1"
"102" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-10" "2022-06-17" "2022-06-25" "R1"
"103" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 2 0 "2022-06-11" "2022-06-17" "2022-06-25" "R1"
"104" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-17" "2022-06-25" "R1"
"105" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 1 1 "2022-06-13" "2022-06-17" "2022-06-25" "R1"
"106" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-14" "2022-06-17" "2022-06-25" "R1"
"107" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-15" "2022-06-17" "2022-06-25" "R1"
"108" 105 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-16" "2022-06-17" "2022-06-25" "R1"
"109" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-04" "2022-06-17" "2022-06-25" "R1"
"110" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 1 0 "2022-06-05" "2022-06-17" "2022-06-25" "R1"
"111" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 7 "2022-06-06" "2022-06-17" "2022-06-25" "R1"
"112" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 7 5 "2022-06-07" "2022-06-17" "2022-06-25" "R1"
"113" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 1 1 "2022-06-08" "2022-06-17" "2022-06-25" "R1"
"114" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 1 "2022-06-09" "2022-06-17" "2022-06-25" "R1"
"115" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-10" "2022-06-17" "2022-06-25" "R1"
"116" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-11" "2022-06-17" "2022-06-25" "R1"
"117" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-12" "2022-06-17" "2022-06-25" "R1"
"118" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-13" "2022-06-17" "2022-06-25" "R1"
"119" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 1 0 "2022-06-14" "2022-06-17" "2022-06-25" "R1"
"120" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 0 "2022-06-15" "2022-06-17" "2022-06-25" "R1"
"121" 106 "51054" "No" "Xrp1_KD" "E" "Chr2" "2022-05-26" "H2O" 50 0 1 "2022-06-16" "2022-06-17" "2022-06-25" "R1"
"122" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-15" "2022-06-25" "R1"
"123" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-15" "2022-06-25" "R1"
"124" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 1 7 "2022-06-06" "2022-06-15" "2022-06-25" "R1"
"125" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 3 0 "2022-06-07" "2022-06-15" "2022-06-25" "R1"
"126" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 2 0 "2022-06-08" "2022-06-15" "2022-06-25" "R1"
"127" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-09" "2022-06-15" "2022-06-25" "R1"
"128" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-10" "2022-06-15" "2022-06-25" "R1"
"129" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-11" "2022-06-15" "2022-06-25" "R1"
"130" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-15" "2022-06-25" "R1"
"131" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 1 0 "2022-06-13" "2022-06-15" "2022-06-25" "R1"
"132" 107 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-14" "2022-06-15" "2022-06-25" "R1"
"133" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 5 "2022-06-04" "2022-06-13" "2022-06-25" "R1"
"134" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 6 4 "2022-06-05" "2022-06-13" "2022-06-25" "R1"
"135" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 3 1 "2022-06-06" "2022-06-13" "2022-06-25" "R1"
"136" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-07" "2022-06-13" "2022-06-25" "R1"
"137" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-08" "2022-06-13" "2022-06-25" "R1"
"138" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-09" "2022-06-13" "2022-06-25" "R1"
"139" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-10" "2022-06-13" "2022-06-25" "R1"
"140" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-11" "2022-06-13" "2022-06-25" "R1"
"141" 108 "34521" "No" "Xrp1_KD" "E" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-12" "2022-06-13" "2022-06-25" "R1"
"142" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-25" "2022-06-25" "R1"
"143" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-25" "2022-06-25" "R1"
"144" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-06" "2022-06-25" "2022-06-25" "R1"
"145" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 1 "2022-06-07" "2022-06-25" "2022-06-25" "R1"
"146" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-08" "2022-06-25" "2022-06-25" "R1"
"147" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 1 "2022-06-09" "2022-06-25" "2022-06-25" "R1"
"148" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 3 "2022-06-10" "2022-06-25" "2022-06-25" "R1"
"149" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-11" "2022-06-25" "2022-06-25" "R1"
"150" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-12" "2022-06-25" "2022-06-25" "R1"
"151" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 1 0 "2022-06-13" "2022-06-25" "2022-06-25" "R1"
"152" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-14" "2022-06-25" "2022-06-25" "R1"
"153" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-15" "2022-06-25" "2022-06-25" "R1"
"154" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-16" "2022-06-25" "2022-06-25" "R1"
"155" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-17" "2022-06-25" "2022-06-25" "R1"
"156" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-18" "2022-06-25" "2022-06-25" "R1"
"157" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-19" "2022-06-25" "2022-06-25" "R1"
"158" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-20" "2022-06-25" "2022-06-25" "R1"
"159" 109 "62177" "No" "Ndae1_KD" "B" "Chr2" "2022-05-26" "10mM" 50 0 0 "2022-06-23" "2022-06-25" "2022-06-25" "R1"
"160" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-04" "2022-06-20" "2022-06-24" "R1"
"161" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-05" "2022-06-20" "2022-06-24" "R1"
"162" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-06" "2022-06-20" "2022-06-24" "R1"
"163" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 3 "2022-06-07" "2022-06-20" "2022-06-24" "R1"
"164" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 1 2 "2022-06-08" "2022-06-20" "2022-06-24" "R1"
"165" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-09" "2022-06-20" "2022-06-24" "R1"
"166" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-10" "2022-06-20" "2022-06-24" "R1"
"167" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-11" "2022-06-20" "2022-06-24" "R1"
"168" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 1 "2022-06-12" "2022-06-20" "2022-06-24" "R1"
"169" 11 "67843" "Cyo" "Control_GluRIB_KD" "D" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-13" "2022-06-20" "2022-06-24" "R1"
