Block	Setup_date	Treatment	Bottle_Number	Zinc_Batch	Total_Num_Females	Total_Num_Males	Collection1_Date	Collection1_DayAfterSetup	Collection1_Num_Females	Collection1_Num_Males	Collection2_Date	Collection2_DayAfterSetup	Collection2_Num_Females	Collection2_Num_Males	Collection3_Date	Collection3_DayAfterSetup	Collection3_Num_Females	Collection3_Num_Males	Collection4_Date	Collection4_DayAfterSetup	Collection4_Num_Females	Collection4_Num_aMales	Collection5_Date	Collection5_DayAfterSetup	Collection5_Num_Females	Collection5_Num_Males	Collection6_Date	Collection 6_DayAfterSetup	Collect6_Num_Females	Collection6_Num_Males
1	10/1/2020	Zinc_25mM	12	B	24	7	10/16/2020	15	6	2	10/19/2020	18	8	2	10/21/2020	20	6	2	10/23/2020	22	4	1	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	13	B	13	11	10/16/2020	15	1	1	10/19/2020	18	7	7	10/21/2020	20	2	3	10/23/2020	22	3	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	14	B	16	8	10/16/2020	15	2	0	10/19/2020	18	2	5	10/21/2020	20	6	2	10/23/2020	22	6	1	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	15	B	16	13	10/16/2020	15	0	1	10/19/2020	18	11	3	10/21/2020	20	3	5	10/23/2020	22	2	4	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	16	B	12	11	10/16/2020	15	4	1	10/19/2020	18	5	2	10/21/2020	20	1	4	10/23/2020	22	2	4	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	17	B	17	8	10/16/2020	15	1	1	10/19/2020	18	9	5	10/21/2020	20	4	1	10/23/2020	22	3	1	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	18	B	7	5	10/16/2020	15	0	0	10/19/2020	18	1	1	10/21/2020	20	5	2	10/23/2020	22	1	2	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	19	B	8	0	10/16/2020	15	0	0	10/19/2020	18	4	0	10/21/2020	20	4	0	10/23/2020	22	0	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	20	B	18	8	10/16/2020	15	0	0	10/19/2020	18	8	4	10/21/2020	20	8	2	10/23/2020	22	2	2	NA	NA	NA	NA				
2	10/2/2020	Control_H20	1	NA	90	109	10/13/2020	11	12	19	10/15/2020	13	41	51	10/16/2020	14	24	30	10/17/2020	15	13	9	NA	NA	NA	NA				
2	10/2/2020	Control_H20	2	NA	124	119	10/13/2020	11	27	24	10/15/2020	13	60	62	10/16/2020	14	29	25	10/17/2020	15	8	8	NA	NA	NA	NA				
2	10/2/2020	Control_H20	3	NA	145	126	10/13/2020	11	40	42	10/15/2020	13	84	71	10/16/2020	14	19	10	10/17/2020	15	2	3	NA	NA	NA	NA				
2	10/2/2020	Control_H20	4	NA	139	143	10/13/2020	11	31	30	10/15/2020	13	81	90	10/16/2020	14	24	18	10/17/2020	15	3	5	NA	NA	NA	NA				
2	10/2/2020	Zinc_25mM	1	C	25	12	10/16/2020	14	0	0	10/20/2020	18	12	7	10/21/2020	19	5	1	10/23/2020	21	6	4	10/24/2020	22	2	0				
2	10/2/2020	Zinc_25mM	2	C	15	3	10/16/2020	14	0	0	10/20/2020	18	4	1	10/21/2020	19	5	2	10/23/2020	21	6	0	10/24/2020	22	0	0				
2	10/2/2020	Zinc_25mM	3	C	15	17	10/16/2020	14	4	2	10/20/2020	18	7	9	10/21/2020	19	2	3	10/23/2020	21	2	2	10/24/2020	22	0	1				
2	10/2/2020	Zinc_25mM	4	C	14	4	10/16/2020	14	0	0	10/20/2020	18	3	2	10/21/2020	19	5	2	10/23/2020	21	5	0	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	5	C	21	12	10/16/2020	14	6	3	10/20/2020	18	7	7	10/21/2020	19	1	0	10/23/2020	21	6	2	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	6	C	19	9	10/16/2020	14	4	1	10/20/2020	18	9	5	10/21/2020	19	2	2	10/23/2020	21	4	1	10/24/2020	22	0	0				
2	10/2/2020	Zinc_25mM	7	C	33	25	10/16/2020	14	5	5	10/20/2020	18	19	11	10/21/2020	19	5	5	10/23/2020	21	3	4	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	8	C	14	4	10/16/2020	14	0	0	10/20/2020	18	7	2	10/21/2020	19	6	0	10/23/2020	21	0	2	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	9	C	31	17	10/16/2020	14	10	1	10/20/2020	18	16	12	NA	NA	NA	NA	10/23/2020	21	3	4	10/24/2020	22	2	0				
2	10/2/2020	Zinc_25mM	10	C	15	10	10/16/2020	14	0	0	10/20/2020	18	11	6	NA	NA	NA	NA	10/23/2020	21	4	4	10/24/2020	22	0	0				
2	10/2/2020	Zinc_25mM	11	C	16	7	10/16/2020	14	0	0	10/20/2020	18	7	3	NA	NA	NA	NA	10/23/2020	21	9	4	10/24/2020	22	0	0				
2	10/2/2020	Zinc_25mM	12	C	15	7	10/16/2020	14	3	1	10/20/2020	18	9	3	NA	NA	NA	NA	10/23/2020	21	3	3	10/24/2020	22	0	0				
2	10/2/2020	Zinc_25mM	13	C	31	17	10/16/2020	14	15	6	10/20/2020	18	13	9	NA	NA	NA	NA	10/23/2020	21	2	2	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	14	C	15	13	10/16/2020	14	0	0	10/20/2020	18	8	11	NA	NA	NA	NA	10/23/2020	21	6	2	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	15	C	11	5	10/16/2020	14	0	0	10/20/2020	18	7	3	NA	NA	NA	NA	10/23/2020	21	3	2	10/24/2020	22	1	0				
2	10/2/2020	Zinc_25mM	16	C	23	16	10/16/2020	14	9	4	10/20/2020	18	5	9	NA	NA	NA	NA	10/23/2020	21	7	3	10/24/2020	22	2	0				
2	10/2/2020	Zinc_25mM	17	C	16	14	10/16/2020	14	0	0	10/20/2020	18	11	6	10/21/2020	19	4	2	10/23/2020	21	1	5	10/24/2020	22	0	1				
3	10/19/2020	Control_H20	1	NA	93	90	10/30/2020	11	9	7	11/3/2020	15	84	83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
3	10/19/2020	Control_H20	2	NA	96	112	10/30/2020	11	40	28	11/3/2020	15	56	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
3	10/19/2020	Control_H20	3	NA	98	98	10/30/2020	11	36	23	11/3/2020	15	62	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
3	10/19/2020	Control_H20	4	NA	114	75	10/30/2020	11	71	46	11/3/2020	15	43	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
3	10/19/2020	Zinc_25mM	1	C	11	11	11/3/2020	15	3	4	11/6/2020	18	5	6	11/8/2020	20	3	0	11/10/2020	22	0	1								
3	10/19/2020	Zinc_25mM	2	C	8	12	11/3/2020	15	0	1	11/6/2020	18	5	7	11/8/2020	20	3	2	11/10/2020	22	0	2								
3	10/19/2020	Zinc_25mM	3	C	9	5	11/3/2020	15	0	0	11/6/2020	18	6	3	11/8/2020	20	2	0	11/10/2020	22	1	2								
3	10/19/2020	Zinc_25mM	4	C	15	6	11/3/2020	15	0	1	11/6/2020	18	5	3	11/8/2020	20	5	2	11/10/2020	22	5	0								
3	10/19/2020	Zinc_25mM	5	C	19	7	11/3/2020	15	0	1	11/6/2020	18	12	2	11/8/2020	20	4	2	11/10/2020	22	3	2								
3	10/19/2020	Zinc_25mM	6	C	15	8	11/3/2020	15	0	0	11/6/2020	18	6	3	11/8/2020	20	6	3	11/10/2020	22	3	2								
3	10/19/2020	Zinc_25mM	7	C	12	3	11/3/2020	15	3	1	11/6/2020	18	8	2	11/8/2020	20	0	0	11/10/2020	22	1	0								
3	10/19/2020	Zinc_25mM	8	C	36	15	11/3/2020	15	21	4	11/6/2020	18	13	9	11/8/2020	20	1	2	11/10/2020	22	1	0								
3	10/19/2020	Zinc_25mM	9	C	19	19	11/3/2020	15	16	4	11/6/2020	18	2	9	11/8/2020	20	1	0	11/10/2020	22	0	6								
3	10/19/2020	Zinc_25mM	10	C	18	5	11/3/2020	15	0	0	11/6/2020	18	8	2	11/8/2020	20	6	3	11/10/2020	22	4	0								
3	10/19/2020	Zinc_25mM	11	C	11	7	11/3/2020	15	0	0	11/6/2020	18	7	6	11/8/2020	20	2	1	11/10/2020	22	2	0								
3	10/19/2020	Zinc_25mM	12	C	20	6	11/3/2020	15	1	0	11/6/2020	18	13	6	11/8/2020	20	5	0	11/10/2020	22	1	0								
3	10/19/2020	Zinc_25mM	13	C	24	17	11/3/2020	15	15	6	11/6/2020	18	7	10	11/8/2020	20	0	0	11/10/2020	22	2	1								
3	10/19/2020	Zinc_25mM	14	C	12	9	11/3/2020	15	0	0	11/6/2020	18	6	6	11/8/2020	20	4	2	11/10/2020	22	2	1								
3	10/19/2020	Zinc_25mM	15	C	19	11	11/3/2020	15	8	3	11/6/2020	18	6	4	11/8/2020	20	3	3	11/10/2020	22	2	1								
3	10/19/2020	Zinc_25mM	16	C	24	20	11/3/2020	15	1	1	11/6/2020	18	15	8	11/8/2020	20	5	10	11/10/2020	22	3	1								
3	10/19/2020	Zinc_25mM	17	C	4	5	11/3/2020	15	1	0	11/6/2020	18	0	1	11/8/2020	20	1	1	11/10/2020	22	2	3								
3	10/19/2020	Zinc_25mM	18	C	23	16	11/3/2020	15	7	7	11/6/2020	18	12	6	11/8/2020	20	1	3	11/10/2020	22	3	0								
4	10/20/2020	Control_H20	1	NA	118	120	11/2/2020	13	98	104	11/4/2020	15	20	16																
4	10/20/2020	Control_H20	2	NA	120	105	11/2/2020	13	77	71	11/4/2020	15	43	34																
4	10/20/2020	Control_H20	3	NA	104	108	11/2/2020	13	91	88	11/4/2020	15	13	20																
4	10/20/2020	Control_H20	4	NA	137	-19	11/2/2020	13	92	80	11/4/2020	15	45	-99																
4	10/20/2020	Zinc_25mM	1	D	12	8	11/3/2020	14	0	0	11/6/2020	17	2	2	11/9/2020	20	7	3	11/11/2020	22	3	3								
4	10/20/2020	Zinc_25mM	2	D	6	4	11/3/2020	14	0	0	11/6/2020	17	1	0	11/9/2020	20	4	4	11/11/2020	22	1	0								
4	10/20/2020	Zinc_25mM	3	D	12	3	11/3/2020	14	0	0	11/6/2020	17	0	0	11/9/2020	20	8	3	11/11/2020	22	4	0								
4	10/20/2020	Zinc_25mM	4	D	8	8	11/3/2020	14	1	0	11/6/2020	17	2	2	11/9/2020	20	5	5	11/11/2020	22	0	1								
4	10/20/2020	Zinc_25mM	5	D	9	4	11/3/2020	14	0	0	11/6/2020	17	1	0	11/9/2020	20	5	0	11/11/2020	22	3	4								
4	10/20/2020	Zinc_25mM	6	D	15	9	11/3/2020	14	4	0	11/6/2020	17	6	5	11/9/2020	20	4	3	11/11/2020	22	1	1								
4	10/20/2020	Zinc_25mM	7	D	14	7	11/3/2020	14	0	0	11/6/2020	17	1	2	11/9/2020	20	13	2	11/11/2020	22	0	3								
4	10/20/2020	Zinc_25mM	8	D	12	9	11/3/2020	14	0	0	11/6/2020	17	4	3	11/9/2020	20	6	4	11/11/2020	22	2	2								
4	10/20/2020	Zinc_25mM	9	D	11	6	11/3/2020	14	0	0	11/6/2020	17	5	1	11/9/2020	20	5	3	11/11/2020	22	1	2								
4	10/20/2020	Zinc_25mM	10	D	9	5	11/3/2020	14	0	0	11/6/2020	17	3	0	11/9/2020	20	3	3	11/11/2020	22	3	2								
4	10/20/2020	Zinc_25mM	11	D	8	4	11/3/2020	14	0	0	11/6/2020	17	2	0	11/9/2020	20	5	3	11/11/2020	22	1	1								
4	10/20/2020	Zinc_25mM	12	D	15	5	11/3/2020	14	0	0	11/6/2020	17	10	1	11/9/2020	20	2	3	11/11/2020	22	3	1								
4	10/20/2020	Zinc_25mM	13	D	13	5	11/3/2020	14	0	0	11/6/2020	17	4	0	11/9/2020	20	6	4	11/11/2020	22	3	1								
4	10/20/2020	Zinc_25mM	14	D	10	6	11/3/2020	14	0	0	11/6/2020	17	4	1	11/9/2020	20	4	4	11/11/2020	22	2	1								
4	10/20/2020	Zinc_25mM	15	D	12	10	11/3/2020	14	0	0	11/6/2020	17	2	2	11/9/2020	20	6	2	11/11/2020	22	4	6								
4	10/20/2020	Zinc_25mM	16	D	15	7	11/3/2020	14	0	0	11/6/2020	17	1	1	11/9/2020	20	8	3	11/11/2020	22	6	3								
4	10/20/2020	Zinc_25mM	17	D	12	7	11/3/2020	14	0	0	11/6/2020	17	3	1	11/9/2020	20	8	4	11/11/2020	22	1	2								
4	10/20/2020	Zinc_25mM	18	D	21	6	11/3/2020	14	0	0	11/6/2020	17	11	1	11/9/2020	20	9	2	11/11/2020	22	1	3								
4	10/20/2020	Zinc_25mM	19	D	12	15	11/3/2020	14	0	0	11/6/2020	17	4	3	11/9/2020	20	6	8	11/11/2020	22	2	4								
4	10/20/2020	Zinc_25mM	20	D	23	12	11/3/2020	14	0	0	11/6/2020	17	3	1	11/9/2020	20	17	8	11/11/2020	22	3	3								
4	10/20/2020	Zinc_25mM	21	D	11	6	11/3/2020	14	0	0	11/6/2020	17	2	3	11/9/2020	20	7	3	11/11/2020	22	2	0								
5	10/24/2020	Control_H20	1	NA	131	107	11/5/2020	12	44	29	11/6/2020	13	64	61	11/8/2020	15	23	17												
5	10/24/2020	Control_H20	2	NA	95	94	11/5/2020	12	66	54	11/6/2020	13	25	32	11/8/2020	15	4	8												
5	10/24/2020	Control_H20	3	NA	101	104	11/5/2020	12	72	50	11/6/2020	13	25	50	11/8/2020	15	4	4												
5	10/24/2020	Control_H20	4	NA	110	90	11/5/2020	12	94	73	11/6/2020	13	14	15	11/8/2020	15	2	2												
5	10/24/2020	Zinc_25mM	1	D	9	2	11/10/2020	17	1	0	11/13/2020	20	2	1	11/15/2020	22	5	1	11/16/2020	23	1	0								
5	10/24/2020	Zinc_25mM	2	D	6	2	11/10/2020	17	1	1	11/13/2020	20	3	0	11/15/2020	22	2	0	11/16/2020	23	0	1								
5	10/24/2020	Zinc_25mM	3	D	11	8	11/10/2020	17	5	1	11/13/2020	20	5	7	11/15/2020	22	1	0	11/16/2020	23	0	0								
5	10/24/2020	Zinc_25mM	4	D	17	7	11/10/2020	17	8	2	11/13/2020	20	8	3	11/15/2020	22	0	1	11/16/2020	23	1	1								
5	10/24/2020	Zinc_25mM	5	D	12	7	11/10/2020	17	5	1	11/13/2020	20	6	4	11/15/2020	22	1	2	11/16/2020	23	0	0								
5	10/24/2020	Zinc_25mM	6	D	27	13	11/10/2020	17	17	1	11/13/2020	20	8	6	11/15/2020	22	0	5	11/16/2020	23	2	1								
5	10/24/2020	Zinc_25mM	7	D	20	11	11/10/2020	17	13	6	11/13/2020	20	4	4	11/15/2020	22	3	1	11/16/2020	23	0	0								
5	10/24/2020	Zinc_25mM	8	D	16	3	11/10/2020	17	6	0	11/13/2020	20	7	1	11/15/2020	22	2	1	11/16/2020	23	1	1								
5	10/24/2020	Zinc_25mM	9	D	25	9	11/10/2020	17	5	2	11/13/2020	20	17	6	11/15/2020	22	2	1	11/16/2020	23	1	0								
5	10/24/2020	Zinc_25mM	10	D	21	9	11/10/2020	17	10	1	11/13/2020	20	9	7	11/15/2020	22	2	0	11/16/2020	23	0	1								
5	10/24/2020	Zinc_25mM	11	D	15	8	11/10/2020	17	3	0	11/13/2020	20	7	6	11/15/2020	22	4	2	11/16/2020	23	1	0								
5	10/24/2020	Zinc_25mM	12	D	13	5	11/10/2020	17	10	1	11/13/2020	20	3	4	11/15/2020	22	0	0	11/16/2020	23	0	0								
6	10/25/2020	Control_H20	1	NA	132	111	11/5/2020	11	7	5	11/6/2020	12	33	32	11/9/2020	15	65	53	11/10/2020	16	27	21								
6	10/25/2020	Control_H20	2	NA	136	147	11/5/2020	11	3	3	11/6/2020	12	40	31	11/9/2020	15	77	93	11/10/2020	16	16	20								
6	10/25/2020	Control_H20	3	NA	97	72	11/5/2020	11	3	0	11/6/2020	12	12	7	11/9/2020	15	60	42	11/10/2020	16	22	23								
6	10/25/2020	Control_H20	4	NA	121	127	11/5/2020	11	11	3	11/6/2020	12	28	35	11/9/2020	15	58	54	11/10/2020	16	24	35								
6	10/25/2020	Zinc_25mM	1	E	5	2	11/12/2020	18	0	2	11/15/2020	21	4	0	11/16/2020	22	1	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	2	E	21	10	11/12/2020	18	14	6	11/15/2020	21	3	4	11/16/2020	22	0	0	11/17/2020	23	2	0	11/19/2020	25	2	0				
6	10/25/2020	Zinc_25mM	3	E	16	7	11/12/2020	18	5	3	11/15/2020	21	2	2	11/16/2020	22	7	1	11/17/2020	23	1	0	11/19/2020	25	1	1				
6	10/25/2020	Zinc_25mM	4	E	4	2	11/12/2020	18	2	1	11/15/2020	21	2	1	11/16/2020	22	0	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	5	E	23	11	11/12/2020	18	15	4	11/15/2020	21	6	6	11/16/2020	22	1	1	11/17/2020	23	1	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	6	E	7	3	11/12/2020	18	6	1	11/15/2020	21	1	1	11/16/2020	22	0	0	11/17/2020	23	0	0	11/19/2020	25	0	1				
6	10/25/2020	Zinc_25mM	7	E	11	5	11/12/2020	18	4	0	11/15/2020	21	4	5	11/16/2020	22	2	0	11/17/2020	23	1	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	8	E	5	3	11/12/2020	18	3	1	11/15/2020	21	2	1	11/16/2020	22	0	0	11/17/2020	23	0	1	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	9	E	26	13	11/12/2020	18	16	7	11/15/2020	21	6	5	11/16/2020	22	3	1	11/17/2020	23	1	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	10	E	18	3	11/12/2020	18	7	2	11/15/2020	21	7	0	11/16/2020	22	3	1	11/17/2020	23	0	0	11/19/2020	25	1	0				
6	10/25/2020	Zinc_25mM	11	E	23	5	11/12/2020	18	7	2	11/15/2020	21	9	2	11/16/2020	22	4	1	11/17/2020	23	1	0	11/19/2020	25	2	0				
6	10/25/2020	Zinc_25mM	12	E	0	1	11/12/2020	18	0	0	11/15/2020	21	0	1	11/16/2020	22	0	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	13	E	6	1	11/12/2020	18	2	1	11/15/2020	21	3	0	11/16/2020	22	1	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	14	E	2	3	11/12/2020	18	1	0	11/15/2020	21	1	2	11/16/2020	22	0	1	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	15	E	3	3	11/12/2020	18	1	0	11/15/2020	21	2	1	11/16/2020	22	0	1	11/17/2020	23	0	0	11/19/2020	25	0	1				
6	10/25/2020	Zinc_25mM	16	E	3	3	11/12/2020	18	1	0	11/15/2020	21	1	1	11/16/2020	22	0	1	11/17/2020	23	0	1	11/19/2020	25	1	0				
6	10/25/2020	Zinc_25mM	17	E	3	4	11/12/2020	18	2	1	11/15/2020	21	0	2	11/16/2020	22	1	0	11/17/2020	23	0	0	11/19/2020	25	0	1				
6	10/25/2020	Zinc_25mM	18	E	3	2	11/12/2020	18	3	1	11/15/2020	21	0	1	11/16/2020	22	0	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	19	E	8	8	11/12/2020	18	2	6	11/15/2020	21	2	2	11/16/2020	22	3	0	11/17/2020	23	1	0	11/19/2020	25	0	0				
6	10/25/2020	Zinc_25mM	20	E	3	4	11/12/2020	18	1	3	11/15/2020	21	1	1	11/16/2020	22	1	0	11/17/2020	23	0	0	11/19/2020	25	0	0				
7	11/1/2020	Control_H20	1	NA	159	155	11/12/2020	11	81	89	11/15/2020	14	68	58	11/16/2020	15	10	8												
7	11/1/2020	Control_H20	2	NA	160	149	11/12/2020	11	108	104	11/15/2020	14	48	39	11/16/2020	15	4	6												
7	11/1/2020	Control_H20	3	NA	146	163	11/12/2020	11	105	120	11/15/2020	14	40	41	11/16/2020	15	1	2												
7	11/1/2020	Control_H20	4	NA	135	141	11/12/2020	11	94	102	11/15/2020	14	38	39	11/16/2020	15	3	0												
7	11/1/2020	Zinc_25mM	1	F	28	11	11/16/2020	15	6	1	11/18/2020	17	5	4	11/20/2020	19	9	4	11/23/2020	22	8	2								
7	11/1/2020	Zinc_25mM	2	F	27	18	11/16/2020	15	3	3	11/18/2020	17	10	5	11/20/2020	19	10	6	11/23/2020	22	4	4								
7	11/1/2020	Zinc_25mM	3	F	18	8	11/16/2020	15	1	2	11/18/2020	17	6	1	11/20/2020	19	7	3	11/23/2020	22	4	2								
7	11/1/2020	Zinc_25mM	4	F	25	14	11/16/2020	15	8	2	11/18/2020	17	7	0	11/20/2020	19	6	7	11/23/2020	22	4	5								
7	11/1/2020	Zinc_25mM	5	F	20	10	11/16/2020	15	2	0	11/18/2020	17	7	2	11/20/2020	19	4	5	11/23/2020	22	7	3								
7	11/1/2020	Zinc_25mM	6	F	21	14	11/16/2020	15	5	0	11/18/2020	17	5	3	11/20/2020	19	7	7	11/23/2020	22	4	4								
7	11/1/2020	Zinc_25mM	7	F	24	16	11/16/2020	15	4	0	11/18/2020	17	8	8	11/20/2020	19	9	5	11/23/2020	22	3	3								
7	11/1/2020	Zinc_25mM	8	F	15	7	11/16/2020	15	1	2	11/18/2020	17	6	1	11/20/2020	19	5	1	11/23/2020	22	3	3								
7	11/1/2020	Zinc_25mM	9	F	23	7	11/16/2020	15	2	0	11/18/2020	17	7	2	11/20/2020	19	9	2	11/23/2020	22	5	3								
7	11/1/2020	Zinc_25mM	10	F	15	5	11/16/2020	15	1	0	11/18/2020	17	7	1	11/20/2020	19	2	0	11/23/2020	22	5	4								
7	11/1/2020	Zinc_25mM	11	F	19	4	11/16/2020	15	4	0	11/18/2020	17	4	1	11/20/2020	19	7	2	11/23/2020	22	4	1								
7	11/1/2020	Zinc_25mM	12	F	29	19	11/16/2020	15	6	2	11/18/2020	17	12	5	11/20/2020	19	8	5	11/23/2020	22	3	7								
7	11/1/2020	Zinc_25mM	13	F	32	13	11/16/2020	15	3	1	11/18/2020	17	13	5	11/20/2020	19	7	5	11/23/2020	22	9	2								
7	11/1/2020	Zinc_25mM	14	F	22	9	11/16/2020	15	2	1	11/18/2020	17	10	0	11/20/2020	19	3	3	11/23/2020	22	7	5								
7	11/1/2020	Zinc_25mM	15	F	29	10	11/16/2020	15	2	1	11/18/2020	17	12	2	11/20/2020	19	10	4	11/23/2020	22	5	3								
7	11/1/2020	Zinc_25mM	16	F	42	21	11/16/2020	15	8	1	11/18/2020	17	10	6	11/20/2020	19	15	3	11/23/2020	22	9	11								
7	11/1/2020	Zinc_25mM	17	F	14	1	11/16/2020	15	1	0	11/18/2020	17	1	0	11/20/2020	19	4	0	11/23/2020	22	8	1								
7	11/1/2020	Zinc_25mM	18	F	20	11	11/16/2020	15	4	0	11/18/2020	17	4	4	11/20/2020	19	9	6	11/23/2020	22	3	1								
7	11/1/2020	Zinc_25mM	19	F	23	12	11/16/2020	15	3	5	11/18/2020	17	10	1	11/20/2020	19	6	5	11/23/2020	22	4	1								
7	11/1/2020	Zinc_25mM	20	F	30	10	11/16/2020	15	4	2	11/18/2020	17	9	1	11/20/2020	19	14	5	11/23/2020	22	3	2								
8	11/16/2020	Control_H20	1	NA	251	271	11/27/2020	11	116	151	11/29/2020	13	42	51	12/1/2020	15	56	44	12/2/2020	16	23	16	12/3/2020	17	14	9				
8	11/16/2020	Control_H20	2	NA	249	216	11/27/2020	11	127	116	11/29/2020	13	53	63	12/1/2020	15	43	29	12/2/2020	16	19	7	12/3/2020	17	7	1				
8	11/16/2020	Control_H20	3	NA	253	225	11/27/2020	11	152	108	11/29/2020	13	64	74	12/1/2020	15	30	35	12/2/2020	16	5	5	12/3/2020	17	2	3				
8	11/16/2020	Control_H20	4	NA	264	248	11/27/2020	11	128	114	11/29/2020	13	75	75	12/1/2020	15	30	32	12/2/2020	16	17	13	12/3/2020	17	14	14				
