Replicate 	Group	Treatment	Bottle	Setup_Date	Experimentor	Embryos	Sex	2021-01-15	2021-01-16	2021-01-18	2021-01-19	2021-01-20	2021-01-22	2021-01-24	2021-01-25	2021-01-26	2021-01-27	Total_Flies
9	Control	25mM_ZnCl2	3	2021-01-03	SJM	25	F	0	0	0	NA	1	0	1	0	0	0	2
9	Control	25mM_ZnCl2	4	2021-01-03	SJM	25	F	0	0	1	NA	1	0	1	0	0	0	3
9	Control	25mM_ZnCl2	5	2021-01-03	SJM	25	F	0	0	4	NA	0	1	0	0	0	0	5
9	Control	25mM_ZnCl2	6	2021-01-03	KMH	25	F	0	0	1	NA	0	1	1	0	0	0	3
9	Control	25mM_ZnCl2	7	2021-01-03	KMH	25	F	0	0	0	NA	0	0	0	0	0	0	0
9	Control	25mM_ZnCl2	8	2021-01-03	KMH	25	F	0	0	0	NA	2	0	1	0	0	0	3
9	Control	25mM_ZnCl2	9	2021-01-03	KMH	25	F	0	0	0	NA	0	1	1	0	0	0	2
9	Control	25mM_ZnCl2	10	2021-01-03	KMH	25	F	0	0	0	NA	0	1	0	0	0	0	1
10	Zinc	25mM_ZnCl2	1	2021-01-04	KMH	25	F	0	0	0	NA	0	1	1	0	0	0	2
10	Zinc	25mM_ZnCl2	2	2021-01-04	KMH	25	F	0	0	2	NA	0	1	0	0	0	0	3
10	Zinc	25mM_ZnCl2	3	2021-01-04	KMH	25	F	0	0	0	NA	1	0	0	0	0	0	1
10	Zinc	25mM_ZnCl2	4	2021-01-04	KMH	25	F	0	0	0	NA	2	0	1	0	0	0	3
10	Zinc	25mM_ZnCl2	5	2021-01-04	KMH	25	F	0	0	0	NA	0	2	0	0	0	0	2
10	Zinc	25mM_ZnCl2	6	2021-01-04	KMH	25	F	0	0	0	NA	3	4	1	0	0	0	8
10	Zinc	25mM_ZnCl2	7	2021-01-04	KMH	25	F	0	0	2	NA	2	0	0	0	0	0	4
10	Zinc	25mM_ZnCl2	8	2021-01-04	KMH	25	F	0	0	0	NA	3	1	0	0	0	0	4
10	Zinc	25mM_ZnCl2	9	2021-01-04	KMH	25	F	0	0	4	NA	2	0	0	0	0	0	6
10	Zinc	25mM_ZnCl2	10	2021-01-04	KMH	25	F	0	0	5	NA	2	0	1	0	0	0	8
10	Control	25mM_ZnCl2	1	2021-01-04	KMH	25	F	0	0	0	NA	0	2	1	0	0	0	3
10	Control	25mM_ZnCl2	2	2021-01-04	KMH	25	F	0	0	0	NA	0	1	1	0	0	0	2
10	Control	25mM_ZnCl2	3	2021-01-04	KMH	25	F	0	0	0	NA	4	0	0	0	1	1	6
10	Control	25mM_ZnCl2	4	2021-01-04	KMH	25	F	0	0	0	NA	0	0	0	0	0	0	0
10	Control	25mM_ZnCl2	5	2021-01-04	KMH	25	F	0	0	1	NA	0	0	0	0	0	0	1
10	Control	25mM_ZnCl2	6	2021-01-04	KMH	25	F	0	0	0	NA	2	2	0	0	0	0	4
10	Control	25mM_ZnCl2	7	2021-01-04	KMH	25	F	0	0	0	NA	0	0	0	0	0	0	0
10	Control	25mM_ZnCl2	8	2021-01-04	KMH	25	F	0	0	1	NA	0	1	0	0	0	0	2
10	Control	25mM_ZnCl2	9	2021-01-04	KMH	25	F	0	0	0	NA	1	0	0	1	1	0	3
10	Control	25mM_ZnCl2	10	2021-01-04	KMH	25	F	0	0	0	NA	1	0	0	0	0	0	1
9	Zinc	H20	1	2021-01-03	SJM	25	M	28	0	0	0	0	0	0	0	0	0	28
9	Zinc	H20	2	2021-01-03	SJM	25	M	18	0	0	0	0	0	0	0	0	0	18
9	Zinc	H20	3	2021-01-03	SJM	25	M	25	0	0	0	0	0	0	0	0	0	25
9	Control	H20	1	2021-01-03	KMH	25	M	38	0	1	0	0	0	0	0	0	0	39
9	Control	H20	2	2021-01-03	KMH	25	M	21	0	0	0	0	0	0	0	0	0	21
9	Control	H20	3	2021-01-03	KMH	25	M	23	0	1	0	0	0	0	0	0	0	24
10	Zinc	H20	1	2021-01-04	KMH	25	M	20	4	0	1	0	0	0	0	0	0	25
10	Zinc	H20	2	2021-01-04	KMH	25	M	18	4	1	0	0	0	0	0	0	0	23
10	Zinc	H20	3	2021-01-04	KMH	25	M	25	0	0	1	0	0	0	0	0	0	26
10	Control	H20	1	2021-01-04	KMH	25	M	21	3	0	0	0	0	0	0	0	0	24
10	Control	H20	2	2021-01-04	KMH	25	M	6	8	7	2	1	0	0	0	0	0	24
10	Control	H20	3	2021-01-04	KMH	25	M	17	1	0	0	0	0	0	0	0	0	18
9	Zinc	H20	1	2021-01-03	SJM	25	F	21	0	0	0	0	0	0	0	0	0	21
9	Zinc	H20	2	2021-01-03	SJM	25	F	26	0	0	0	0	0	0	0	0	0	26
9	Zinc	H20	3	2021-01-03	SJM	25	F	21	1	0	0	0	0	0	0	0	0	22
9	Control	H20	1	2021-01-03	KMH	25	F	40	2	0	0	0	0	0	0	0	0	42
9	Control	H20	2	2021-01-03	KMH	25	F	19	0	0	0	0	0	0	0	0	0	19
9	Control	H20	3	2021-01-03	KMH	25	F	24	0	0	0	0	0	0	0	0	0	24
10	Zinc	H20	1	2021-01-04	KMH	25	F	19	0	0	0	0	0	0	0	0	0	19
10	Zinc	H20	2	2021-01-04	KMH	25	F	14	1	1	0	0	0	0	0	0	0	16
10	Zinc	H20	3	2021-01-04	KMH	25	F	12	0	0	0	0	0	0	0	0	0	12
10	Control	H20	1	2021-01-04	KMH	25	F	20	2	0	0	0	0	0	0	0	0	22
10	Control	H20	2	2021-01-04	KMH	25	F	4	5	12	1	0	0	0	0	0	0	22
10	Control	H20	3	2021-01-04	KMH	25	F	19	0	0	0	0	0	0	0	0	0	19
